worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,dimension_index,dimension_name,timestamp_start,timestamp_start_parsed,selection_index,selection_value,selection_label,selection_timestamp,selection_timestamp_parsed,selection_time_elapsed,timestamp_end,timestamp_end_parsed,document_index,document_id
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,0,truthfulness-1,1673191606.0,2023-01-08 16:26:46,0,1,False,1673191640.149,2023-01-08 16:27:20.149000,34.149,1673191784.2,2023-01-08 16:29:44.200000,0,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,1,explanation-quality,1673191606.0,2023-01-08 16:26:46,1,51,,1673191642.449,2023-01-08 16:27:22.449000,2.3,1673191784.2,2023-01-08 16:29:44.200000,0,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,2,truthfulness-2,1673191606.0,2023-01-08 16:26:46,2,0,Lie,1673191679.358,2023-01-08 16:27:59.358000,36.909,1673191784.2,2023-01-08 16:29:44.200000,0,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,0,truthfulness-1,1673191606.0,2023-01-08 16:26:46,0,0,Lie,1673191754.903,2023-01-08 16:29:14.903000,148.903,1673191784.2,2023-01-08 16:29:44.200000,1,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,1,explanation-quality,1673191606.0,2023-01-08 16:26:46,1,51,,1673191758.103,2023-01-08 16:29:18.103000,3.2,1673191784.2,2023-01-08 16:29:44.200000,1,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,2,truthfulness-2,1673191606.0,2023-01-08 16:26:46,2,0,Lie,1673191770.728,2023-01-08 16:29:30.728000,12.625,1673191784.2,2023-01-08 16:29:44.200000,1,41947
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,0,truthfulness-1,1673191606.0,2023-01-08 16:26:46,0,4,Mostly True,1673191803.222,2023-01-08 16:30:03.222000,197.222,1673191784.2,2023-01-08 16:29:44.200000,2,25842
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,1,explanation-quality,1673191606.0,2023-01-08 16:26:46,1,72,,1673191806.355,2023-01-08 16:30:06.355000,3.133,1673191784.2,2023-01-08 16:29:44.200000,2,25842
A1TEEFJDPVEK0L,True,sctask,scbatch,unit_1,1,1,2,truthfulness-2,1673191606.0,2023-01-08 16:26:46,2,5,True,1673192035.573,2023-01-08 16:33:55.573000,229.218,1673191784.2,2023-01-08 16:29:44.200000,2,25842
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,0,truthfulness-1,1673273987.0,2023-01-09 15:19:47,0,4,Mostly True,1673274063.243,2023-01-09 15:21:03.243000,76.243,1673274567.01,2023-01-09 15:29:27.010000,0,25842
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,1,explanation-quality,1673273987.0,2023-01-09 15:19:47,1,89,,1673274072.459,2023-01-09 15:21:12.459000,9.216,1673274567.01,2023-01-09 15:29:27.010000,0,25842
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,2,truthfulness-2,1673273987.0,2023-01-09 15:19:47,2,5,True,1673274460.86,2023-01-09 15:27:40.860000,388.401,1673274567.01,2023-01-09 15:29:27.010000,0,25842
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,0,truthfulness-1,1673273987.0,2023-01-09 15:19:47,0,1,False,1673274516.067,2023-01-09 15:28:36.067000,529.067,1673274567.01,2023-01-09 15:29:27.010000,1,41947
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,1,explanation-quality,1673273987.0,2023-01-09 15:19:47,1,75,,1673274523.6,2023-01-09 15:28:43.600000,7.533,1673274567.01,2023-01-09 15:29:27.010000,1,41947
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,2,truthfulness-2,1673273987.0,2023-01-09 15:19:47,2,0,Lie,1673274552.668,2023-01-09 15:29:12.668000,29.068,1673274567.01,2023-01-09 15:29:27.010000,1,41947
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,0,truthfulness-1,1673273987.0,2023-01-09 15:19:47,0,1,False,1673274583.835,2023-01-09 15:29:43.835000,596.835,1673274567.01,2023-01-09 15:29:27.010000,2,41947
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,1,explanation-quality,1673273987.0,2023-01-09 15:19:47,1,90,,1673274587.963,2023-01-09 15:29:47.963000,4.128,1673274567.01,2023-01-09 15:29:27.010000,2,41947
A31D4B0UFIZOMV,True,sctask,scbatch,unit_6,1,1,2,truthfulness-2,1673273987.0,2023-01-09 15:19:47,2,0,Lie,1673274606.848,2023-01-09 15:30:06.848000,18.885,1673274567.01,2023-01-09 15:29:27.010000,2,41947
